policy,trajectories,calls,cost,quality,factual_coverage,quality_per_cost,frontier
logged,159,919,0.00275577733,0.8212889120528181,1.0,298.02440970541625,True
cheapest,159,919,0.00011069517,0.7527832178668048,0.08176100628930817,6800.506452691701,True
strongest,159,919,0.0055347585000000005,0.8484338235587934,0.1761006289308176,153.2919319892265,True
method3_cascade,159,919,0.00096946626,0.8108356615134711,0.08176100628930817,836.3732653403235,False
method4_foraging,159,919,0.00088807033,0.8169415514688607,0.06918238993710692,919.906367628407,True
