policy,cost_usd,cost_delta_pct,burden_delta,supported_pct,avg_effective_n,note
original_logged,76.928856,0.0,0.0,100.0,,Observed logged model choices.
gated_router_lambda_0.20,56.04425,-27.150000000000002,-0.0089,31.39,32.36,Trajectory-level gated router; quality is continuation-burden proxy.
